pctl,raw60,raw15,mult,gap
0,300.76,315.79,1.049973,15.03
0.5,169.58,195.2,1.151079,25.62
1,159.37,184.8,1.159566,25.43001
1.5,153.17,179.06,1.169028,25.89
2,148.4,174.28,1.174394,25.88
2.5,144.79,170.39,1.176808,25.60001
3,141.59,167.2,1.180874,25.61
3.5,138.99,164.78,1.185553,25.78999
4,136.6,162.39,1.188799,25.78999
4.5,134.4,160.69,1.19561,26.29001
5,132.59,158.39,1.194585,25.8
5.5,130.8,156.77,1.198547,25.97
6,129.36,155.16,1.199443,25.8
6.5,127.8,153.58,1.201721,25.78
7,126.58,152,1.200822,25.42
7.5,125.2,151.13,1.207109,25.93001
8,123.99,149.59,1.206468,25.6
8.5,122.78,148.7,1.211109,25.92
9,121.58,147.19,1.210643,25.61
9.5,120.58,146.33,1.213551,25.75
10,119.58,144.8,1.210905,25.22
10.5,118.58,143.99,1.214286,25.41
11,117.58,143.17,1.217639,25.59
11.5,116.59,142.32,1.220688,25.73001
12,115.6,141.51,1.224135,25.91
12.5,114.8,140.7,1.22561,25.89999
13,114,139.81,1.226403,25.81
13.5,113.19,138.41,1.222811,25.22
14,112.4,137.6,1.224199,25.2
14.5,111.76,136.8,1.224052,25.04
15,110.98,136.44,1.229411,25.46
15.5,110.2,135.82,1.232486,25.62001
16,109.43,135.1,1.234579,25.67001
16.5,108.79,134.31,1.23458,25.52
17,108.17,133.55,1.234631,25.38
17.5,107.4,132.77,1.23622,25.37
18,106.8,131.99,1.235861,25.19
18.5,106.19,131.2,1.235521,25.00999
19,105.59,131.08,1.241405,25.49001
19.5,104.99,130.34,1.241452,25.35
20,104.4,129.58,1.241188,25.18
20.5,103.8,128.8,1.240848,25
21,103.37,128.61,1.244171,25.24
21.5,102.79,127.92,1.244479,25.13
22,102.2,127.17,1.244325,24.97
22.5,101.77,126.4,1.242016,24.63
23,101.19,126.28,1.247949,25.09
23.5,100.6,125.55,1.248012,24.95
24,100.17,124.79,1.245782,24.62
24.5,99.59,124,1.245105,24.41
25,99,123.93,1.251818,24.93
25.5,98.57,123.19,1.249772,24.62
26,97.99,122.4,1.249107,24.41
26.5,97.4,122.35,1.25616,24.95
27,96.98,121.59,1.253764,24.60999
27.5,96.4,121.49,1.26027,25.09
28,95.98,120.77,1.258283,24.78999
28.5,95.4,120,1.257862,24.6
29,94.98,119.92,1.262582,24.93999
29.5,94.55,119.18,1.260497,24.63
30,94,118.4,1.259574,24.4
30.5,93.58,118.35,1.264693,24.77
31,93,117.59,1.264409,24.59
31.5,92.59,117.5,1.269036,24.91
32,92.19,116.77,1.266623,24.57999
32.5,91.77,116,1.26403,24.23
33,91.2,115.93,1.271162,24.73
33.5,90.8,115.19,1.268612,24.39
34,90.39,115.09,1.27326,24.7
34.5,89.99,114.38,1.27103,24.39
35,89.59,113.6,1.267999,24.01
35.5,89.17,113.56,1.273522,24.39
36,88.6,112.8,1.273138,24.2
36.5,88.2,112.72,1.278005,24.52
37,87.8,111.99,1.275512,24.18999
37.5,87.39,111.92,1.280696,24.53
38,86.99,111.19,1.278193,24.2
38.5,86.59,110.98,1.281672,24.39001
39,86.19,110.37,1.280543,24.18
39.5,85.79,109.6,1.277538,23.81
40,85.39,109.56,1.283054,24.17
40.5,84.99,108.8,1.280151,23.81001
41,84.58,108.75,1.285765,24.17
41.5,84.19,108,1.282813,23.81
42,83.79,107.93,1.288101,24.14
42.5,83.39,107.19,1.285406,23.8
43,82.99,107.13,1.290878,24.14
43.5,82.59,106.39,1.288171,23.8
44,82.19,106.31,1.293466,24.12
44.5,81.79,105.59,1.290989,23.8
45,81.4,105.5,1.296069,24.1
45.5,81,104.79,1.293704,23.79
46,80.6,104.7,1.299007,24.1
46.5,80.38,103.99,1.29373,23.61
47,79.99,103.91,1.299037,23.92001
47.5,79.59,103.19,1.29652,23.60001
48,79.19,103.11,1.302058,23.92
48.5,78.79,102.39,1.29953,23.6
49,78.4,102.33,1.30523,23.93
49.5,78,101.59,1.302436,23.59
50,77.76,101.52,1.305555,23.75999
50.5,77.39,100.79,1.302365,23.4
51,76.99,100.72,1.308222,23.73
51.5,76.59,99.99,1.305523,23.4
52,76.2,99.92,1.311286,23.72
52.5,75.8,99.19,1.308575,23.39
53,75.59,99.09,1.310888,23.5
53.5,75.19,98.38,1.308419,23.18999
54,74.8,97.6,1.304813,22.8
54.5,74.4,97.57,1.311425,23.17
55,74.19,96.8,1.304758,22.61
55.5,73.79,96.76,1.311289,22.97
56,73.4,96,1.307902,22.6
56.5,73,95.95,1.314384,22.95
57,72.78,95.2,1.308052,22.42
57.5,72.39,95.14,1.31427,22.75
58,71.99,94.39,1.311154,22.4
58.5,71.6,94.32,1.317318,22.72
59,71.38,93.59,1.311152,22.21
59.5,70.99,93.48,1.316805,22.49001
60,70.6,92.78,1.314164,22.18
60.5,70.2,92,1.310541,21.8
61,69.8,91.97,1.317622,22.17
61.5,69.58,91.2,1.310721,21.62
62,69.19,91.16,1.317531,21.97
62.5,68.79,90.4,1.314145,21.61
63,68.39,90.35,1.3211,21.96
63.5,68,89.6,1.317647,21.6
64,67.6,89.54,1.324556,21.94
64.5,67.38,88.79,1.31775,21.41
65,66.99,88.72,1.324377,21.73
65.5,66.59,87.98,1.32122,21.39001
66,66.2,87.2,1.317221,21
66.5,65.8,87.17,1.324772,21.37
67,65.59,86.4,1.317274,20.81001
67.5,65.19,86.35,1.32459,21.16
68,64.8,85.6,1.320988,20.8
68.5,64.4,85.54,1.328261,21.14
69,64.19,84.79,1.320922,20.6
69.5,63.79,84.72,1.328108,20.93
70,63.4,83.98,1.324606,20.58
70.5,63,83.2,1.320635,20.2
71,62.78,83.17,1.324785,20.39
71.5,62.39,82.4,1.320725,20.01
72,61.99,82.35,1.32844,20.36
72.5,61.6,81.59,1.324513,19.99
73,61.2,81.54,1.332353,20.34
73.5,60.98,80.79,1.324861,19.81
74,60.59,80,1.32035,19.41
74.5,60.19,79.97,1.328626,19.78
75,59.79,79.2,1.324636,19.41
75.5,59.39,79.15,1.332716,19.76
76,58.99,78.39,1.328869,19.4
76.5,58.59,77.6,1.324458,19.01
77,58.19,77.55,1.332703,19.36
77.5,57.79,76.79,1.328777,19
78,57.39,76,1.324273,18.61
78.5,56.99,75.96,1.332865,18.97
79,56.59,75.19,1.32868,18.6
79.5,56.19,74.4,1.324079,18.21
80,55.78,74.36,1.333094,18.58
80.5,55.2,73.59,1.333152,18.39
81,54.8,72.8,1.328467,18
81.5,54.4,72.75,1.337316,18.35
82,53.99,71.99,1.333395,18
82.5,53.58,71.2,1.328854,17.62
83,53,71.12,1.341887,18.12
83.5,52.6,70.37,1.337833,17.77
84,52.19,69.59,1.333397,17.4
84.5,51.6,68.8,1.333333,17.2
85,51.2,68.71,1.341992,17.51
85.5,50.79,67.95,1.337862,17.16
86,50.2,67.18,1.338247,16.98
86.5,49.79,66.39,1.3334,16.6
87,49.2,65.6,1.333333,16.4
87.5,48.79,65.54,1.343308,16.75
88,48.2,64.76,1.343568,16.56
88.5,47.77,63.98,1.339334,16.21
89,47.19,63.19,1.339055,16
89.5,46.59,62.39,1.339129,15.8
90,45.99,61.6,1.339422,15.61
90.5,45.39,60.8,1.339502,15.41
91,44.78,60,1.339884,15.22
91.5,44,59.2,1.345455,15.2
92,43.39,58.39,1.345702,15
92.5,42.6,57.59,1.351878,14.99
93,41.99,56.77,1.351989,14.78
93.5,41.19,55.95,1.358339,14.76
94,40.4,54.4,1.346535,14
94.5,39.59,53.58,1.353372,13.99
95,38.6,52,1.34715,13.4
95.5,37.6,51.18,1.36117,13.58
96,36.6,49.6,1.355191,13
96.5,35.59,48,1.348693,12.41
97,34.2,46.4,1.356725,12.2
97.5,32.8,44.79,1.365549,11.99
98,31.2,43.14,1.382692,11.94
98.5,29.39,40,1.361007,10.61
99,26.6,36.79,1.383083,10.19
99.5,22.6,31.98,1.415044,9.379999
100,0.6,2.39,3.983333,1.79
